Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
GOT1	AST1	ENSG00000120053	"Glutamic-oxaloacetic transaminase 1"	P17174	10	99396870-99430624	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Amino-acid biosynthesis"	"Aminotransferase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"heart muscle: 511.1;liver: 369.5;skeletal muscle: 489.9;tongue: 1011.6"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 561.6;Early spermatids: 205.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Skin - Eccrine sweat gland cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA064532, HPA072629"	Enhanced					NA	Yes		100000000	"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"HPA064532: AB_2685279, HPA072629: AB_2686540"	"unprognostic (6.40e-2)"	"prognostic favorable (6.23e-4)"	"unprognostic (5.99e-2)"	"unprognostic (2.84e-2)"	"unprognostic (2.82e-1)"	"unprognostic (2.96e-2)"	"unprognostic (5.25e-2)"	"unprognostic (1.08e-3)"	"unprognostic (6.67e-2)"	"unprognostic (1.45e-1)"	"unprognostic (1.79e-2)"	"unprognostic (1.79e-1)"	"prognostic favorable (3.72e-13)"	"unprognostic (1.93e-2)"	"unprognostic (4.23e-1)"	"unprognostic (6.85e-2)"	"unprognostic (1.00e-1)"
IDH2		ENSG00000182054	"Isocitrate dehydrogenase (NADP(+)) 2"	P48735	15	90083045-90102477	"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Glyoxylate bypass, Tricarboxylic acid cycle"	Oxidoreductase	"Cancer-related genes, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"heart muscle: 492.6;skeletal muscle: 1302.3;tongue: 1611.3"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 574.8;Cytotrophoblasts: 749.3;Distal tubular cells: 945.4;Extravillous trophoblasts: 657.6;Syncytiotrophoblasts: 615.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Lung - Mitotic cells (Lung), Skeletal muscle - Skeletal myocytes, Stomach - Parietal cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA007831	Enhanced		Supported	Mitochondria		NA	NA		5200000	"Cluster 51: Monocytes - Innate immune response"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 28: Cytotrophoblasts - Unknown function"	Mitochondria		"HPA007831: AB_1851397"	"unprognostic (2.45e-2)"	"prognostic favorable (5.15e-5)"	"unprognostic (2.92e-1)"	"unprognostic (1.53e-1)"	"unprognostic (3.53e-1)"	"unprognostic (8.46e-2)"	"unprognostic (3.83e-2)"	"unprognostic (2.55e-3)"	"unprognostic (1.86e-2)"	"unprognostic (1.89e-2)"	"unprognostic (2.76e-1)"	"unprognostic (4.90e-2)"	"unprognostic (2.19e-3)"	"unprognostic (3.92e-3)"	"unprognostic (4.46e-1)"	"unprognostic (1.30e-2)"	"unprognostic (2.58e-2)"
KIF1C	"SAX2, SPAX2, SPG58"	ENSG00000129250	"Kinesin family member 1C"	O43896	17	4997950-5028401	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Motor protein"	"Disease variant, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"brain: 244.8;choroid plexus: 142.7;heart muscle: 185.0;skeletal muscle: 561.0;tongue: 389.2"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 342.4;Distal enterocytes: 141.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Prostate - Smooth muscle cells, Skin - Keratinocyte (granular)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA024602, HPA045020"	Approved					NA	NA			"Cluster 52: Eosinophils - Transcription"	"Cluster 80: Striated muscle - Unknown function"	"Cluster 49: Non-specific - Unknown function"	"Cluster 15: Smooth muscle cells - Muscle contraction"			"HPA024602: AB_1852480, HPA045020: AB_2679187"	"unprognostic (3.89e-2)"	"unprognostic (3.73e-2)"	"unprognostic (2.70e-2)"	"unprognostic (1.24e-2)"	"unprognostic (3.74e-1)"	"unprognostic (8.97e-2)"	"unprognostic (1.92e-1)"	"unprognostic (2.28e-1)"	"unprognostic (6.69e-2)"	"unprognostic (8.31e-2)"	"unprognostic (1.45e-1)"	"unprognostic (4.90e-3)"	"prognostic favorable (2.26e-9)"	"unprognostic (1.10e-1)"	"unprognostic (2.28e-1)"	"unprognostic (1.41e-1)"	"unprognostic (7.10e-3)"
LRRC14B		ENSG00000185028	"Leucine rich repeat containing 14B"	A6NHZ5	5	191495-196334	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"heart muscle: 34.0;skeletal muscle: 113.8"	"Group enriched"	"Detected in some"	8	"Cardiomyocytes: 6.7;Skeletal myocytes: 4.0"	"Cancer enhanced"	"Detected in some"		"renal cancer: 1.6"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	14	"plasmacytoid DC: 1.6"	"Lineage enriched"	"Detected in single"	14	"dendritic cells: 1.6"	"Cancer enhanced"	"Detected in some"		"Leukemia: 9.5;Myeloma: 17.4"	"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA038046, HPA038047"	Uncertain		Approved	Nucleoplasm,Cytosol		NA	NA			"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 23: B-cell cancers - Adaptive immune response"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Nucleoplasm, Cytosol"		"HPA038046: AB_10672504, HPA038047: AB_2675806"	"unprognostic (7.63e-4)"	"unprognostic (4.25e-3)"	"unprognostic (8.50e-3)"	"unprognostic (7.63e-4)"	"unprognostic (4.95e-2)"	"unprognostic (3.79e-2)"		"unprognostic (6.07e-3)"		"unprognostic (9.68e-2)"		"unprognostic (6.43e-2)"	"unprognostic (6.43e-3)"	"unprognostic (2.78e-2)"	"unprognostic (6.19e-2)"	"unprognostic (3.60e-3)"	"unprognostic (2.19e-1)"
MAPKAPK3	"3pK, MAPKAP3, MK-3, MK3"	ENSG00000114738	"MAPK activated protein kinase 3"	Q16644	3	50611520-50649291	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"bone marrow: 106.5;heart muscle: 256.3;skeletal muscle: 224.2;tongue: 284.3"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 237.1;Hofbauer cells: 113.9;monocytes: 174.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Group enriched"	"Detected in all"	5	"dendritic cells: 142.8;granulocytes: 126.3;monocytes: 341.5"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Heart muscle - Cardiomyocytes, Skin - Keratinocyte (granular)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA058275			Supported	Nucleoplasm		NA	NA			"Cluster 51: Monocytes - Innate immune response"	"Cluster 8: Non-specific - Mitochondria"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Nucleoplasm		"HPA058275: AB_2683663"	"unprognostic (6.46e-3)"	"unprognostic (1.84e-1)"	"prognostic favorable (8.08e-5)"	"unprognostic (1.17e-1)"	"unprognostic (1.93e-1)"	"unprognostic (9.96e-2)"	"unprognostic (8.77e-3)"	"unprognostic (7.68e-3)"	"unprognostic (1.11e-1)"	"unprognostic (5.87e-2)"	"unprognostic (2.19e-3)"	"unprognostic (1.01e-1)"	"prognostic favorable (1.90e-8)"	"unprognostic (2.15e-2)"	"unprognostic (1.22e-1)"	"unprognostic (1.86e-1)"	"unprognostic (1.69e-1)"
MT1HL1	MT1P2	ENSG00000244020	"Metallothionein 1H like 1"	P0DM35	1	237004103-237004441	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enriched"	"Detected in some"	4	"heart muscle: 5.9"	"Group enriched"	"Detected in some"	4	"Glandular and luminal cells: 2.8;Proximal tubular cells: 9.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes"					"Low region specificity"	"Detected in all"									NA	NA				"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 29: TT & NCI-H1385 - Synaptic signal transduction"	"Cluster 60: Proximal tubular cells - Absorption"								"unprognostic (5.79e-2)"					"unprognostic (2.78e-1)"				"unprognostic (2.65e-1)"		"unprognostic (3.77e-2)"	
MTLN	"LEMP, LINC00116, MOXI, MPM, NCRNA00116, SMIM37"	ENSG00000175701	Mitoregulin	Q8NCU8	2	110211529-110245420	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"heart muscle: 229.3;skeletal muscle: 784.7;tongue: 280.3"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 612.5;Distal tubular cells: 279.9;Proximal tubular cells: 308.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in all"													NA	NA			"Cluster 47: Plasmacytoid DCs - Protein folding"	"Cluster 80: Striated muscle - Unknown function"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 77: Cardiomyocytes - Muscle contraction"				"unprognostic (3.74e-2)"	"unprognostic (1.86e-1)"	"unprognostic (7.68e-2)"	"unprognostic (6.99e-2)"	"unprognostic (2.04e-1)"	"unprognostic (2.64e-1)"	"unprognostic (3.49e-3)"	"unprognostic (8.20e-2)"	"unprognostic (9.10e-2)"	"unprognostic (6.08e-2)"	"unprognostic (5.08e-3)"	"unprognostic (8.27e-2)"	"unprognostic (1.97e-1)"	"unprognostic (2.93e-2)"	"unprognostic (1.04e-1)"	"unprognostic (8.80e-2)"	"unprognostic (1.95e-2)"
PLN	"CMD1P, PLB"	ENSG00000198523	Phospholamban	P26678	6	118548296-118561716	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"heart muscle: 1563.4;skeletal muscle: 507.3"	"Cell type enriched"	"Detected in some"	15	"Cardiomyocytes: 4191.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	5	"skin cancer: 4.4"	"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Thyroid - Smooth muscle cells"	"Low region specificity"	"Detected in many"							"CAB005597, HPA026900"	Enhanced					NA	NA				"Cluster 38: Heart - Muscle contraction"	"Cluster 33: Skin cancer - Membrane components"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"CAB005597: AB_2252716, HPA026900: AB_1855314"	"unprognostic (2.49e-1)"	"unprognostic (5.67e-2)"	"unprognostic (1.96e-3)"	"unprognostic (4.81e-2)"	"unprognostic (1.20e-1)"	"unprognostic (5.54e-2)"	"unprognostic (2.35e-3)"	"unprognostic (4.66e-2)"	"unprognostic (3.97e-1)"	"unprognostic (8.98e-2)"	"unprognostic (8.98e-2)"	"unprognostic (3.28e-1)"	"prognostic unfavorable (4.11e-4)"	"unprognostic (2.98e-3)"	"unprognostic (1.80e-1)"	"unprognostic (2.11e-1)"	"prognostic unfavorable (5.59e-4)"
POPDC2	POP2	ENSG00000121577	"Popeye domain containing 2"	Q9HBU9	3	119636457-119665324	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"heart muscle: 405.4"	"Group enriched"	"Detected in many"	8	"Cardiomyocytes: 249.1;Skeletal myocytes: 65.3"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Group enriched"	"Detected in some"	5	"Neuroblastoma: 4.5;testis cancer: 2.5"	"Breast - Breast myoepithelial cells, Prostate - Smooth muscle cells, Skin - Smooth muscle cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA024255	Enhanced					NA	NA			"Cluster 14: Monocytes - Unknown function"	"Cluster 38: Heart - Muscle contraction"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"HPA024255: AB_1855545"	"unprognostic (1.13e-1)"	"unprognostic (1.17e-3)"	"unprognostic (8.91e-3)"	"unprognostic (9.48e-2)"	"unprognostic (5.56e-2)"	"unprognostic (7.64e-2)"	"unprognostic (2.73e-2)"	"unprognostic (2.43e-1)"	"unprognostic (3.18e-2)"	"unprognostic (1.72e-2)"	"unprognostic (5.86e-3)"	"unprognostic (1.80e-1)"	"unprognostic (1.24e-2)"	"unprognostic (6.26e-3)"	"unprognostic (1.66e-2)"	"unprognostic (2.12e-1)"	"unprognostic (2.06e-2)"
PROS1	PROS	ENSG00000184500	"Protein S"	P07225	3	93873051-93980003	"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Blood coagulation, Fibrinolysis, Hemostasis"		"Disease variant, FDA approved drug targets, Thrombophilia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"choroid plexus: 107.5;heart muscle: 116.6;liver: 283.1"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 264.5;Thymic epithelial cells: 87.5"	"Cancer enhanced"	"Detected in all"		"thyroid cancer: 64.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Fibroblasts, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA007724, HPA023974, CAB032610"	Approved				"Secreted to blood"	NA	NA	22500000000	5000000000	"Cluster 28: Myeloid DCs - Unknown function"	"Cluster 85: Liver - Metabolism"	"Cluster 16: Skin cancer - Melanocyte processes"	"Cluster 29: Hepatocytes - Metabolism"			"CAB032610: AB_2237647, HPA007724: AB_1079688, HPA023974: AB_1855738"	"unprognostic (2.00e-2)"	"unprognostic (2.81e-2)"	"unprognostic (9.21e-2)"	"unprognostic (8.03e-3)"	"unprognostic (3.35e-2)"	"unprognostic (2.41e-1)"	"unprognostic (6.48e-2)"	"unprognostic (3.07e-1)"	"unprognostic (5.18e-2)"	"unprognostic (3.12e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.91e-1)"	"unprognostic (1.10e-1)"	"prognostic unfavorable (8.35e-4)"	"unprognostic (4.90e-2)"	"unprognostic (1.05e-2)"	"prognostic unfavorable (4.42e-5)"
RHBDL3	"RHBDL4, VRHO"	ENSG00000141314	"Rhomboid like 3"	P58872	17	32265832-32324659	"Enzymes, Predicted membrane proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"brain: 23.0;heart muscle: 13.8;retina: 26.1"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 40.5;Cone photoreceptor cells: 19.0;Excitatory neurons: 46.2;Horizontal cells: 38.5;Oligodendrocyte precursor cells: 72.7;Rod photoreceptor cells: 35.7"	"Cancer enriched"	"Detected in some"	4	"glioma: 4.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Kidney - Podocytes, Skin - Outer root sheath cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA059607	Uncertain					NA	NA				"Cluster 58: Brain - Synaptic function"	"Cluster 47: Retina - Visual perception"	"Cluster 38: Neurons - Neuronal signaling"			"HPA059607: AB_2684081"	"unprognostic (7.70e-2)"	"unprognostic (3.71e-2)"	"unprognostic (2.36e-2)"	"unprognostic (6.95e-2)"	"unprognostic (2.91e-1)"	"unprognostic (2.83e-2)"	"unprognostic (2.22e-1)"	"unprognostic (1.93e-1)"	"unprognostic (1.85e-3)"	"unprognostic (1.13e-1)"	"unprognostic (1.82e-3)"	"unprognostic (1.75e-2)"	"unprognostic (4.19e-2)"	"unprognostic (2.18e-3)"	"unprognostic (2.11e-1)"	"unprognostic (1.23e-1)"	"unprognostic (8.87e-2)"
SLC25A11	"OGC, SLC20A4"	ENSG00000108528	"Solute carrier family 25 member 11"	Q02978	17	4937130-4940053	"Disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Antiport, Lipid transport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"heart muscle: 233.6;skeletal muscle: 314.5;tongue: 450.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA021167	Approved					NA	NA		25000	"Cluster 31: Non-specific - Inflammatory response"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 49: Non-specific - Unknown function"	"Cluster 16: Non-specific - RNA binding"			"HPA021167: AB_1857021"	"unprognostic (8.58e-2)"	"unprognostic (4.06e-3)"	"unprognostic (9.43e-2)"	"unprognostic (2.47e-2)"	"unprognostic (1.75e-1)"	"unprognostic (1.48e-1)"	"unprognostic (1.99e-1)"	"unprognostic (1.03e-1)"	"unprognostic (4.86e-1)"	"unprognostic (9.48e-2)"	"prognostic favorable (6.41e-6)"	"unprognostic (2.84e-1)"	"prognostic favorable (2.84e-9)"	"unprognostic (1.26e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.70e-2)"	"unprognostic (1.09e-1)"
SLC25A34	DKFZp781A10161	ENSG00000162461	"Solute carrier family 25 member 34"	Q6PIV7	1	15736258-15741392	"Predicted membrane proteins, Transporters"	Transport			"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Group enriched"	"Detected in many"	4	"heart muscle: 14.4;intestine: 14.0;skeletal muscle: 37.8;tongue: 47.3"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 14.6;Paneth cells: 12.5;Proximal enterocytes: 41.0;Skeletal myocytes: 12.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in some"			"Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA069806			Approved	Mitochondria		NA	NA			"Cluster 32: T-cells - Unknown function"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 10: Ovarian & Endometrial cancers - Unknown function"	"Cluster 50: Enterocytes - Absorption"	Mitochondria		"HPA069806: AB_2686202"	"unprognostic (2.06e-1)"	"unprognostic (4.72e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.43e-1)"	"unprognostic (2.58e-1)"	"unprognostic (8.08e-3)"	"unprognostic (1.98e-2)"	"unprognostic (9.92e-2)"	"unprognostic (1.55e-1)"	"unprognostic (1.55e-1)"	"unprognostic (1.80e-4)"	"unprognostic (5.74e-2)"	"unprognostic (6.10e-2)"	"unprognostic (4.02e-1)"	"unprognostic (1.82e-1)"	"unprognostic (4.04e-2)"	"unprognostic (2.40e-4)"
